Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_relative_laminar_volume_difference,Bok_1929_relative_laminar_thickness_difference,Lamina,,,,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,12,-57,I,relative volume standard deviation of Layers II-VI,,relative volume average Layers II-VI,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-1,-14,II,2.627313795,,0,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,4,-12,III,relative volume standard deviation of Layer I,,relative volume average of Layer I,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,0,2,IV,3.532048904,,4.75862069,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-4,3,V,relative volume standard deviation of Layer II,relative thickness standard deviation of Layer II,relative volume average of Layer II,relative thickness average of Layer II
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,1,21,VI,2.127696782,4.138013135,0.793103448,-12.13793103
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,9,-60,I,relative volume standard deviation of Layer III,relative thickness standard deviation of Layer III,relative volume average of Layer III,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,1,-14,II,3.138431725,6.361057631,-0.724137931,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,0,-16,III,relative volume standard deviation of Layer IV,relative thickness standard deviation of Layer IV,relative volume average of Layer IV,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,1,1,IV,2.351500936,4.934796526,-0.379310345,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-1,7,V,relative volume standard deviation of Layer V,relative thickness standard deviation of Layer V,relative volume average of Layer V,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-1,22,VI,2.713767127,3.875526343,-0.310344828,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,0,-32,I,relative volume standard deviation of Layer VI,,relative volume average of Layer VI,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,1,-14,II,2.52719202,,0.620689655,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,0,-6,III,,,0,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,1,-6,IV,,,,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,-2,0,V,,,,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,0,26,VI,,,,
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,7,-31,I,,,,
