Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_gyri_to_wall_thickness_difference,Bok_1929_sulci_to_wall_thickness_difference,Lamina,,
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-2,55,I,2,-55
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-7,7,II,7,-7
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-13,-1,III,13,1
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,2,0,IV,-2,0
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,-2,-5,V,2,5
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,1,20,-1,VI,-20,1
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-7,53,I,7,-53
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-6,8,II,6,-8
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-16,0,III,16,0
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,-1,-2,IV,1,2
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,4,-3,V,-4,3
Not very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,2,19,-3,VI,-19,3
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,-5,27,I,5,-27
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,-5,9,II,5,-9
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,-9,-3,III,9,3
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,-5,1,IV,5,-1
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,3,3,V,-3,-3
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri1_minus_Sulci1,3,16,-10,VI,-16,10
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,-5,26,I,5,-26
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,-2,10,II,2,-10
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,-11,0,III,11,0
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,-2,3,IV,2,-3
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,-5,-5,V,5,5
Not very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,4,20,-8,VI,-20,8
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,-5,36,I,5,-36
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,-4,7,II,4,-7
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,-6,2,III,6,-2
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,-14,5,IV,14,-5
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,-2,-2,V,2,2
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,5,26,-12,VI,-26,12
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,0,38,I,0,-38
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,2,10,II,-2,-10
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,-6,-3,III,6,3
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,-3,3,IV,3,-3
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,-6,-13,V,6,13
Not very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,6,13,3,VI,-13,-3
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,9,70,I,-9,-70
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,5,17,II,-5,-17
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,28,41,III,-28,-41
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,9,13,IV,-9,-13
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,20,17,V,-20,-17
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,7,38,12,VI,-38,-12
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,-7,54,I,7,-54
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,-5,7,II,5,-7
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,-14,-1,III,14,1
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,-3,-1,IV,3,1
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,6,-1,V,-6,1
Not very curved,R. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,8,16,-4,VI,-16,4
